column,outlier_method,n_outliers,pct_outliers,lower_bound,upper_bound,threshold
PatientId,IQR,21588,19.53187908836755,-131156045236782.5,229720380579149.5,
PatientId,Z-score,2569,2.3243189446922474,,,3.0
AppointmentID,IQR,2946,2.6654120712586065,5512428.5,5853380.5,
AppointmentID,Z-score,1667,1.5082287585838754,,,3.0
Age,IQR,5,0.004523781519447737,-37.5,110.5,
Age,Z-score,5,0.004523781519447737,,,3.0
Scholarship,IQR,10861,9.826558216544374,0.0,0.0,
Scholarship,Z-score,10861,9.826558216544374,,,3.0
Hipertension,IQR,21801,19.72459218109602,0.0,0.0,
Hipertension,Z-score,0,0.0,,,3.0
Diabetes,IQR,7943,7.186479321794674,0.0,0.0,
Diabetes,Z-score,7943,7.186479321794674,,,3.0
Alcoholism,IQR,3360,3.039981181068879,0.0,0.0,
Alcoholism,Z-score,3360,3.039981181068879,,,3.0
Handcap,IQR,2241,2.0275588770164754,0.0,0.0,
Handcap,Z-score,2241,2.0275588770164754,,,3.0
SMS_received,IQR,0,0.0,-1.5,2.5,
SMS_received,Z-score,0,0.0,,,3.0
